,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp F,Wind Speed mph
357,Warrington,20,GB,1609622862,80,53.39,-2.58,36.0,10.29
358,Gunnedah,90,AU,1609622862,88,-30.98,150.25,68.0,5.86
359,Belaya Kholunitsa,100,RU,1609622868,95,58.84,50.85,10.51,9.37
360,Tuatapere,100,NZ,1609622868,97,-46.13,167.68,53.01,5.99
361,Berlevåg,99,NO,1609622868,95,70.86,29.09,26.64,9.08
362,São João da Barra,90,BR,1609622725,78,-21.64,-41.05,77.0,12.75
363,Canora,75,CA,1609622869,74,51.63,-102.43,37.4,16.11
364,Praia,20,CV,1609622857,78,14.92,-23.51,73.4,12.75
365,Negombo,40,LK,1609622869,83,7.21,79.84,78.8,1.12
366,Flinders,100,AU,1609622869,97,-34.58,150.86,66.99,8.99
367,Grindavik,90,IS,1609622820,100,63.84,-22.43,44.6,20.8
